customer_name,reg_date
Arjun Mehta,3/10/2023
Priya Sharma,4/15/2023
Vikram Singh,5/1/2023
Ritu Patel,6/5/2023
Aman Gupta,7/12/2023
Sneha Desai,8/18/2023
Rahul Verma,9/5/2023
Neha Joshi,10/10/2023
Karan Kapoor,11/15/2023
Divya Nair,12/20/2023
Rohan Iyer,1/2/2024
Anjali Saxena,1/8/2024
Sameer Khan,1/12/2024
Pooja Rao,1/15/2024
Nikhil Jain,1/18/2024
Aarti Yadav,1/22/2024
Manish Kulkarni,1/26/2024
Shreya Ghosh,1/30/2024
Aakash Dubey,2/2/2024
Bhavna Agarwal,2/5/2024
Ramesh Chandra,2/8/2024
Kavita Malhotra,2/10/2024
Ashish Mishra,2/12/2024
Megha Sinha,2/15/2024
Vishal Bhardwaj,2/18/2024
Ravi Sharma,8/1/2024
Anita Verma,8/5/2024
Sunil Patel,8/10/2024
Pooja Gupta,8/12/2024
Amit Kumar,8/15/2024
Neha Mehta,8/20/2024
Rajesh Reddy,8/22/2024
Sneha Joshi,8/25/2024
